trilha_nome,curso_nome,curso_link,modulo_id,modulo_nome,aula_id,aula_nome,aula_slug,aula_link,aula_concluida,aula_sumario,aula_conteudo_html
Comece por aqui,Comece por aqui,https://jornadadedados.alpaclass.com/c/cursos/OSYFn1?from=contents,113111,Seja bem-vindo!,575980,É o primeiro passo da jornada,Z9FQIW,https://jornadadedados.alpaclass.com/c/cursos/OSYFn1?lessonSlug=Z9FQIW,True,"Vídeo com onboarding
- Recomendações de início
- Primeiros passos
- Suporte","<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">
<html><body><p>V&iacute;deo com onboarding<br>- Recomenda&ccedil;&otilde;es de in&iacute;cio<br>- Primeiros passos<br>- Suporte</p></body></html>
"
Comece por aqui,Comunidade Exclusiva no Whatsapp,https://jornadadedados.alpaclass.com/c/cursos/MRU5lp?from=contents,209288,"Faça parte da comunidade, link na descrição",1124123,https://chat.whatsapp.com/FLEMctP2Ofg8OGLTo77Sv1?mode=ems_copy_c,xgQO8O,https://jornadadedados.alpaclass.com/c/cursos/MRU5lp?lessonSlug=xgQO8O,True,https://chat.whatsapp.com/FLEMctP2Ofg8OGLTo77Sv1?mode=ems_copy_c,"<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">
<html><body><p><a href=""https://chat.whatsapp.com/FLEMctP2Ofg8OGLTo77Sv1?mode=ems_copy_c"">https://chat.whatsapp.com/FLEM...</a></p></body></html>
"
Comece por aqui,Mentoria LinkedIn Profissional,https://jornadadedados.alpaclass.com/c/cursos/beRx3Z?from=contents,190962,LinkedIn Profissional,1035461,Aula,ZaVMFk,https://jornadadedados.alpaclass.com/c/cursos/beRx3Z?lessonSlug=ZaVMFk,False,https://docs.google.com/document/d/181IDx7AJzWOGZohwm6xtDGGFk8nq8dcfK23afSce15w/edit?usp=sharing,"<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">
<html><body><p><a href=""https://docs.google.com/document/d/181IDx7AJzWOGZohwm6xtDGGFk8nq8dcfK23afSce15w/edit?usp=sharing"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=https://docs.google.com/document/d/181IDx7AJzWOGZohwm6xtDGGFk8nq8dcfK23afSce15w/edit?usp%3Dsharing&amp;source=gmail&amp;ust=1758046895022000&amp;usg=AOvVaw2DVyUX0Y55ocbb05ab34yD"">https://docs.google.com/document/d/181IDx7AJzWOGZohwm6xtDGGFk8nq8dcfK23afSce15w/edit?usp=sharing</a></p></body></html>
"
Comece por aqui,Acelerador de Carreiras,https://jornadadedados.alpaclass.com/c/cursos/jC5WaB?from=contents,210448,Roadmap Personalizado,1130162,Apresentação Acelerador de Carreira,fRlTC8,https://jornadadedados.alpaclass.com/c/cursos/jC5WaB?lessonSlug=fRlTC8,False,"Responda o questionário e veja qual o seu roadmap indicado

https://roadmap-jornadadedados.streamlit.app/","<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">
<html><body><p>Responda o question&aacute;rio e veja qual o seu roadmap indicado<br><br><a href=""https://roadmap-jornadadedados.streamlit.app/"">https://roadmap-jornadadedados...</a></p></body></html>
"
Trilha de I.A. com n8n – Fundamentos,"Introdução ao n8n, Workflows e Agentes de IA",https://jornadadedados.alpaclass.com/c/cursos/peCqwg?from=contents,189266,Trilha n8n,1026655,Boas-vindas,K3ofmx,https://jornadadedados.alpaclass.com/c/cursos/peCqwg?lessonSlug=K3ofmx,True,,"<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">
<html><body><p>Adicione o calend&aacute;rio da Jornada!<br><br><a href=""https://calendar.google.com/calendar/u/0?cid=Y182NWM2YTFiM2M4OWEyYmY4Y2ExMDMyZGQ1MDI1NWUxODJmNDkxMmRlYjAxOWU2YjRkZmRlNzlhOGY1ZmJmOTFiQGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20"">https://calendar.google.com/ca...</a></p></body></html>
"
Trilha de I.A. com n8n – Fundamentos,"Introdução ao n8n, Workflows e Agentes de IA",https://jornadadedados.alpaclass.com/c/cursos/peCqwg?from=contents,189266,Trilha n8n,1027966,Fundamentos,4h2a92,https://jornadadedados.alpaclass.com/c/cursos/peCqwg?lessonSlug=4h2a92,True,,
Trilha de I.A. com n8n – Fundamentos,Configuração do n8n Cloud e Deploy,https://jornadadedados.alpaclass.com/c/cursos/o5QeHf?from=contents,189274,Trilha n8n,1026664,Configurando sua conta n8n e Overview,xLFasq,https://jornadadedados.alpaclass.com/c/cursos/o5QeHf?lessonSlug=xLFasq,True,,"<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">
<html><body><p>Adicione o calend&aacute;rio da Jornada!<br><br><a href=""https://calendar.google.com/calendar/u/0?cid=Y182NWM2YTFiM2M4OWEyYmY4Y2ExMDMyZGQ1MDI1NWUxODJmNDkxMmRlYjAxOWU2YjRkZmRlNzlhOGY1ZmJmOTFiQGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20"">https://calendar.google.com/ca...</a></p></body></html>
"
Trilha de I.A. com n8n – Fundamentos,"Integração com Google: Gmail, Calendar e Sheets",https://jornadadedados.alpaclass.com/c/cursos/9Em6RI?from=contents,189277,Trilha n8n,1026670,Integração com Google,X0bXuo,https://jornadadedados.alpaclass.com/c/cursos/9Em6RI?lessonSlug=X0bXuo,True,,
Trilha de I.A. com n8n – Fundamentos,Inteligência Artificial no n8n com ChatGPT,https://jornadadedados.alpaclass.com/c/cursos/qqaE6Q?from=contents,189276,Trilha n8n,1036361,Construindo nosso Agente do zero,dWJ9jr,https://jornadadedados.alpaclass.com/c/cursos/qqaE6Q?lessonSlug=dWJ9jr,True,,
Trilha de I.A. com n8n – Fundamentos,Inteligência Artificial no n8n com ChatGPT,https://jornadadedados.alpaclass.com/c/cursos/qqaE6Q?from=contents,189276,Trilha n8n,1026667,Apresentação e explicação do Workflow,IOUOeH,https://jornadadedados.alpaclass.com/c/cursos/qqaE6Q?lessonSlug=IOUOeH,True,,"<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">
<html><body><p>Adicione o calend&aacute;rio da Jornada!<br><br><a href=""https://calendar.google.com/calendar/u/0?cid=Y182NWM2YTFiM2M4OWEyYmY4Y2ExMDMyZGQ1MDI1NWUxODJmNDkxMmRlYjAxOWU2YjRkZmRlNzlhOGY1ZmJmOTFiQGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20"">https://calendar.google.com/ca...</a></p></body></html>
"
